"","x","y","num_shots","num_made","prop_made","avg_points","total_points"
"493",19,22,4,2,0.5,1,4
"494",19,23,4,2,0.5,1,4
"495",19,24,3,1,0.333333333333333,0.666666666666667,2
"496",19,25,8,1,0.125,0.25,2
"497",19,26,3,1,0.333333333333333,0.666666666666667,2
"498",19,27,6,2,0.333333333333333,0.666666666666667,4
"499",19,28,2,0,0,0,0
"500",19,30,4,1,0.25,0.75,3
"501",19,31,7,4,0.571428571428571,1.71428571428571,12
"502",19,32,3,1,0.333333333333333,1,3
"503",19,33,4,1,0.25,0.75,3
"504",19,34,1,0,0,0,0
"505",19,37,1,1,1,3,3
"506",20,4,1,1,1,2,2
"507",20,5,1,0,0,0,0
"508",20,7,10,4,0.4,0.8,8
"509",20,8,10,6,0.6,1.2,12
"510",20,9,17,8,0.470588235294118,0.941176470588235,16
"511",20,10,10,3,0.3,0.6,6
"512",20,11,18,8,0.444444444444444,0.888888888888889,16
"513",20,12,10,4,0.4,0.8,8
"514",20,13,4,2,0.5,1,4
"515",20,14,11,2,0.181818181818182,0.363636363636364,4
"516",20,15,9,4,0.444444444444444,0.888888888888889,8
"517",20,16,3,2,0.666666666666667,1.33333333333333,4
"518",20,17,2,2,1,2,4
"519",20,18,4,2,0.5,1,4
"520",20,19,3,1,0.333333333333333,0.666666666666667,2
"521",20,20,5,2,0.4,0.8,4
"522",20,21,1,0,0,0,0
"523",20,22,4,2,0.5,1,4
"524",20,23,6,0,0,0,0
"525",20,24,3,1,0.333333333333333,0.666666666666667,2
"526",20,25,3,1,0.333333333333333,0.666666666666667,2
"527",20,26,7,4,0.571428571428571,1.14285714285714,8
"528",20,27,4,1,0.25,0.5,2
"529",20,28,1,0,0,0,0
"530",20,29,1,1,1,2,2
"531",20,30,2,1,0.5,1.5,3
"532",20,31,8,2,0.25,0.75,6
"533",20,32,6,2,0.333333333333333,1,6
"534",20,33,4,2,0.5,1.5,6
"535",20,34,1,0,0,0,0
"536",21,6,4,2,0.5,1,4
"537",21,7,4,3,0.75,1.5,6
"538",21,8,4,1,0.25,0.5,2
"539",21,9,10,7,0.7,1.4,14
"540",21,10,11,7,0.636363636363636,1.27272727272727,14
"541",21,11,19,10,0.526315789473684,1.05263157894737,20
"542",21,12,13,5,0.384615384615385,0.769230769230769,10
"543",21,13,8,4,0.5,1,8
"544",21,14,8,5,0.625,1.25,10
"545",21,15,9,4,0.444444444444444,0.888888888888889,8
"546",21,16,1,0,0,0,0
"547",21,17,3,2,0.666666666666667,1.33333333333333,4
"548",21,18,6,3,0.5,1,6
"549",21,19,7,4,0.571428571428571,1.14285714285714,8
"550",21,20,3,1,0.333333333333333,0.666666666666667,2
"551",21,21,3,1,0.333333333333333,0.666666666666667,2
"552",21,22,3,2,0.666666666666667,1.33333333333333,4
"553",21,23,5,4,0.8,1.6,8
"554",21,24,6,2,0.333333333333333,0.666666666666667,4
"555",21,25,5,0,0,0,0
"556",21,26,8,3,0.375,0.75,6
"557",21,27,2,1,0.5,1,2
"558",21,28,5,3,0.6,1.2,6
"559",21,29,2,1,0.5,1,2
"560",21,30,1,0,0,0,0
"561",21,31,9,2,0.222222222222222,0.666666666666667,6
"562",21,32,7,1,0.142857142857143,0.428571428571429,3
"563",21,33,1,1,1,3,3
"564",21,35,1,0,0,0,0
"565",21,39,1,0,0,0,0
"566",21,77,1,0,0,0,0
"567",22,5,1,0,0,0,0
"568",22,6,9,3,0.333333333333333,0.666666666666667,6
"569",22,7,4,2,0.5,1,4
"570",22,8,4,2,0.5,1,4
"571",22,9,10,5,0.5,1,10
"572",22,10,8,4,0.5,1,8
"573",22,11,16,6,0.375,0.75,12
"574",22,12,11,3,0.272727272727273,0.545454545454545,6
"575",22,13,8,2,0.25,0.5,4
"576",22,14,10,3,0.3,0.6,6
